"prs_ResponseID","course","planSPELL"
"R_1ISPDQG4j130zKC","BioChem"," Reserved 4 hours each day concentrating on this course || Read at least five research papers from online literature search related to the unity we are covering in the course || Do the assignments and practices on regular basis || Participate in all discussion posted in this course"
"R_1ISs1rFQYKvbqD8","BioChem",""
"R_1ISsjVMj4EgpBMd","JustS","I plan on studying on the weekends "
"R_1isuJ3INPdyGmRo","JustS"," At home, night or afternoon "
"R_1ITuXpwAHHdDujw","JustS","In my office. || Read and take part of the discussions. "
"R_1IuC8nXrYzaVqff","JustS","At my legal work as a lawyer "
"R_1IvdTTYKeypLsUJ","BioChem",""
"R_1IWbi0N2RC2eYOw","JustS"," I will set a plan to complete x amount of hours of coursework every evening and weekends until the course is complete ||"
"R_1IZfRkYiTzyAVEx","AmGov"," I will spend evenings and some mornings before work studying || I will plan my time well "
"R_1IzOTHCHIKG5eSu","AmGov"," Home office "
"R_1j6UZzcc4ddWVPF","JustS","Home between 5pm to 10pm || Allotting a specific time and reading related material || Take note of obstacles and make sure they don't happen again || Measure quantitatively my progress"
"R_1j7Xc2diXRVq4DH","BioChem",""
"R_1j9zaZx2rwWSDa2","BioChem","In my room after I get off work || to make a plan of when I will complete the modules || Make sure that I say on track to finish everything by end of summer || even doing a little bit every day will help"
"R_1jdFMDTE5XtOfXt","AmGov"," Studying at home, in my room || Make sure that work is done on time, and to an agreed upon specification If i become stuck, i will seek help from other people"
"R_1jDL6sWTrDY9E0x","AmGov",""
"R_1JDzmYYdB0SmjGO","JustS"," Evenings after the kids are in bed || Follow the course in small segments || Find additional time during the weekend to catch up "
"R_1JIMTOKpBVlAgJY","BioChem","I have subscribed to a more affordable internet service provider || I have bought notebooks for lecture notes I have made plans to dedicate at least 2-4 hours per week on studying course materials "
"R_1jk2CwRFZeR0tgv","AmGov","After work during my down time || Breaks in my schedule || Weekends || In between classes"
"R_1JKExh3oPfEcFN7","AmGov","I plan on spending at least 3-4 days a week going over course material "
"R_1jkrBPmZtqbqlwt","AmGov"," I will take time for this course every day after I come home from university. || I plan on incorporating this course into my existing study schedule. I will treat this course as a priority, not to be considered less important than my other classes."
"R_1JLboKXTy9uN7Sk","BioChem","I will definitely allot time specifically for this course from the free time available after my regular classes. || Will prepare a course material and note down every details about the specific topic being taught from every possible sources. Obstacles are part and parcel of our everyday life. Will face it confidently and try my level best to overcome it. "
"R_1JLXIHwfg9eEnKK","JustS"," I plan to engage in the course during the evening in my room after work and responsibilities. || I will work on the course everyday without exception, I will try not to skip a day, pretend it is a real required class. || If I can email the professor I will, also I will look for orientation on the internet. "
"R_1jPrbwveJzz0qi7","AmGov","Home after work during leisure time "
"R_1JQ2Ul9sXVKc282","JustS","Home || Plan to work on course during semester break. || Locate resources || Available library access to readings, references "
"R_1jQdY4nBpnudsFt","AmGov"," Manage time effectively || Set a designated time to complete the course content Seek help when needed"
"R_1jqtYeZRfw9jGin","JustS"," Traveling to work and in my office || manage my little available time well || Delegate where I can "
"R_1js996Iaia3cyqN","AmGov"," weekend hours || After working hours at night"
"R_1juCteD6m3wuBUV","JustS","Spend time on understanding Lecture Videos || Spend time on topic wise readings suggested. || Then attempt coursework. Go back to the lecture video and readings for clarification. || Use the discussion forums. "
"R_1JVgtlUPFmj1X3a","JustS"," Dedicate at least one hour every day to read and watch the video || participate in discussions || request for assistance when need be || answer all the quizzes and final exams"
"R_1jvqvH3qpBfMbNV","JustS"," Monday afternoons 13.00-16.00, Friday mornings 9.00-11.00 home office Stay committed, reschedule only when absolutely necessary. Ask for help if needed. Do the work. || Only one plan, to succeed. "
"R_1JWUkMRIMUQDcIN","JustS"," I will study daily from home. || Following the suggested outline will ensure I'm able to complete the work. || In terms of obstacles, if any topic proves difficult, I plan to research any missing background to ensure that I understand the concepts. || I've much time available right now to pursue academic study."
"R_1jYREDUvDEaRFDC","JustS","When and Where will be home, evenings, 2-3 sessions per week "
"R_1k23sZ7v63Se6Ko","AmGov","I plan to engage in course content at home, primarily in the evenings || I plan to create a calendar to help me stay organized || I plan to create reminders in my cell phone for activities and due dates || I plan to log into the system frequently, and consistently"
"R_1K7sBDuDp0emNbX","AmGov"," In my study room of course . || I have a set scheduled time to do it . As always I will prevail. "
"R_1K9bVbTNcKx0yvT","JustS",""
"R_1KdkYU9Op8Huobj","AmGov"," After my internship and work, at home. || Ensure I complete something every day "
"R_1KdMGU0jjwsHEvO","BioChem","at home after kids go to bed "
"R_1kFgpthqVUzJkdr","BioChem","Take and review notes on important topics || Pay careful attention to practice problems || If I encounter obstacles, I will search for the help I need (thourough the textbook, discussion boards, or outside websites) to gain better understanding of the material || Manage my time well, spacing out the units so that I have enough time to learn effectively."
"R_1KfrZg3CKnWvBKX","JustS","home || read all the material and videos || discussion forum || exchanging ideas "
"R_1Kg5dr8e6dWOpMS","BioChem"," Mostly at my home, when I will be free. || I will set goals to complete some particular sections in a specified time. || I will manage my time to avoid any delay in my goal completion. || I will make notes to remember the content."
"R_1kH9Oenc5jbDg4m","BioChem","complete the quizzes || try to at least clear the cut off participation required take help from my friends with experience in biochemistry "
"R_1kIGcYILvhW7l3Z","AmGov"," I plan to use my spare time such as breaks and my free time during the weekends. || Time management is very important. I will prioritize and make sure that all the readings are complete and have understood the contents. Obstacles come unexpectedly but I will be utilizing the help feature of this course."
"R_1KkkODSqW50Hj1Z","AmGov"," Watch lectures as time permits || Take notes Try to stay ahead of course to allow for unforeseen delays"
"R_1KlijYJrF9pYhw3","AmGov","I will follow the course mainly during the weekends at home. || Just being constant. I will try first to solve them myself. If it doesn't work I'll ask in the forum or directly to the professor. "
"R_1KlRDL8rEesJZCA","BioChem",""
"R_1KqJEMGXX5nUvsu","AmGov","I plan to study the material || I'm hoping to purchase the book suggested but it is very expensive || I plan to use supplemental material || I plan to watch all lectures "
"R_1kSxX6M9IAEYAux","JustS"," At home at my computer. I am going to try to assign myself a couple of days a week to work. || Put times on my calendar to block out for the course. || If I miss a day, I will try to catch up the next day. "
"R_1KvVo4devFUeUjc","AmGov"," I plan on spending time almost every day on this course. || If their is an obstacle in my understanding I will engage the course community for help. If I run into an obstacle in my schedule I will devote extra time to the course on the weekend."
"R_1l0u8y0URdQ73E8","BioChem"," I have time during the Summer break so have set aside 2 days to do preparation for my masters "
"R_1l66X107PdrqN4M","JustS","I will engage in course content at home or at school. || I will work course tasks into the weekly work breakdown structure I make for myself. || Any obstacles will require me to adjust my schedule and change my plans accordingly. Only as the amount of free time I have approaches zero will the likelihood of me not completing the course will increase. || I am curious enough about the topic to be prepared to make a genuine effort to complete the class. The only two things that take priority over Edx classes are work and school. "
"R_1l6qO5J128tA0XM","AmGov",""
"R_1lAcMpZoqXkNk91","AmGov"," Spend thouree to five hours per week on the course || Participate as much as possible in ongoing discussions Take as many quizzes as I can"
"R_1LbaAS6cF0poh0o","BioChem"," I plan on doing some of my coursework on my desktop at home and some on my mobile device depending on where I am. || I will have times set up during the day where i will only work on the coursework and nothing else. I will overcome any obstacle that is thourown in my way because i feel very passionate about learning and nothing will stop me from getting the knowledge that I want. "
"R_1LCodssI04xM9yl","BioChem","At home, during free time "
"R_1Le75ZGhSRBSRnH","AmGov"," Home || Setting certain times to do the work Ignore them, lol. "
"R_1LFLqmbzfmUokxo","BioChem","In my study place on weekends, I will find the time. "
"R_1LG5IwMP8fzmexH","AmGov","during office hours in my office || have set aside specific days to complete work "
"R_1lgI4kz75l71RfI","JustS","Spend an hour every other day on the weekdays and about 2-3 hours on the weekends || Study at home on my laptop || Other priorities in daily life might delay my study for a week or so but I intend to finish the whole course. "
"R_1LGv3LBmDFLO7NM","JustS","after work in my house || dedicate at least 30 minutes to the course every day || plan for makeup "
"R_1LhAtpLguZcJoBf","BioChem",""
"R_1lhGVeeMButTorU","AmGov"," I will study on my weekday off when nobody is home but myself. The less distractions from other people, the better for me. I study much better alone! || See above! This is my best bet to finish the course. I'll also read and study in my less busy times at work! || The biggest obstacle I will face with this course is essay writing. I will do my best and I won't let myself get discouraged even if I fail an essay. It's only part of my grade and my ability to write an essay doesn't negate how smart or intelligent I actually am. || I'll also let a friend or family member know so they can hold me accountable for completing the course! "
"R_1llX3G4qWkb2Vig","JustS"," I plan to take at least two lectures per week || Set aside 2-3 hours at least twice a week to complete a material || Schedule revision sections once every two to thouree weeks to prepare for final exam "
"R_1LMPeSbcFs2P7CH","BioChem","I plan on studying in my apartment every evening after i come back home from my summer internship || I will study the all the material in my disposal religiously and make certain that i understand I will request questions in the appropriate manner that i have been requested to. "
"R_1LnemwqDei6mSej","JustS","Household || Out of work "
"R_1lnSSMaFBgZGByP","BioChem"," I will study in Evening as I am currently employed || I will be dedicating 2-3 hours daily for the course "
"R_1LNXknpNY3ODJRb","BioChem"," at home. all day || dedication as a challenge to overcome"
"R_1LpwgCRNjPQKgrI","BioChem"," During the incubation time of my experiments || During break times (tea break) || weekends "
"R_1lsECHAYraB1USb","JustS"," When I get off work at home, alone. || Set a reminder on my phone. || Work thourough it. "
"R_1LtAeEB9cFXXaMO","BioChem"," I plan on doing the course content during the day while my family is at work/school || I would like to spend one hour per day studying and reviewing course material to make sure I stay caught up "
"R_1LTMS4DjCgwKJe6","BioChem","at home work thourough it by studying "
"R_1luEZq6O59DcL6R","JustS",""
"R_1LwndaWfRu4Iv5R","BioChem","Set a few hours per week to do the work given out during that week "
"R_1LXvLIO2fGqUKmJ","AmGov"," At home during the evening || Watch videos, answer questions Ask questions"
"R_1lyL4KY28Ww7kEK","JustS",""
"R_1LzE31LaximM1RO","AmGov","Studying will be done at home before and after work "
"R_1LziIKomOeyUX7p","BioChem"," set aside time each week || focus on coursework "
"R_1M6xbAFTL8PhPrK","BioChem"," In My lab while having spare time || I will read it regularly || I will discuss things with my friends || I think i would be able to pass this course "
"R_1mC3QzAv0YC4e6t","JustS","Logging in at least 3 times a week || Making myself a specific deadline for the coursework || My current plan has leeway for obstacles. I fly around the world for a living and will be able to complete this course on time. "
"R_1mC8BWdBW3D9bO5","AmGov","SET ASIDE ENOUGH HOURS EACH WEEK TO COMPLETE WORK || HAVE COMPLETED MANY ONLINE COURSES TO DATE || HAVE A COMPUTER DEDICATED TO COURSEWORK || HAVE HOME OFFICE WHERE I WILL NOT BE INTERUPTED"
"R_1mDvjJ08RS6Avwd","JustS","I will work on it at work at home anywhere I can || I will do my best to keep my interest and focused on learning || I will face obstacles head on and do my best to make the time I need to succeed "
"R_1meCmcSE1LAeLM1","JustS","When I can work the course into my daily schedule. || Currently, I'm creating a priority list. Not a to do list. || I'll take it one day at a time. || This is considered an introductory course for me, which allows me to decide whether or not I'll continue enrolling in additional justice courses. "
"R_1mgXzEJ2LsymuHE","BioChem","I am planning on expending one hour a day between 10-11 pm at my home || I have a planed schedule to grant enough time for the studying of each assignment If necessary I will use more time during the weekend to address any obstacles I might encounter during the course "
"R_1mJFEu7qnD2FvXv","BioChem",""
"R_1mk1FiNX0LQ9NaZ","BioChem"," I plan to devote at least 5 hour per week || I will take notes and watch videos I will do the optional Pymol assignments"
"R_1mk3un4gBMkSi0L","AmGov"," At the end of a working day, half an hour at least. || Hear the classes and do the readings and exercises if not daily, at least every 2 or 3 days. I will respond positively to obstacles, will try to overcome with faith, effort and engagement."
"R_1ml94RR3caIZsxV","JustS"," In my free time, occupying the time that I'll usually do nothing as much as possible. "
"R_1mQ37AMipIYM21q","AmGov"," At home, once a week "
"R_1mqLbenpDaMhx2d","JustS"," I plan on spending time completing course objectives primarily in the evenings, after I get home from work and my children are in bed. "
"R_1mrBXXWr9J6Om2f","AmGov","Prioritize || Time management "
"R_1mrORr6U5xBFMDz","JustS","I plan to do readings at lunch time at work, and watch the lectures at home after work and on weekends. || When I feel unmotivated and slack, I will remind myself how interesting the topics are, and how empowered I will feel by knowing more about political and moral philosophy. || If I start to fall behind I will set small goals for myself, like planning to finish a section of course material by a certain date, and try to keep to a self-imposed deadline. "
"R_1MS8jMptPPIfQNL","AmGov"," During the day, from home. || Set aside time for study. || Have a backup time set up to catch up, sacrifice television or computer time. || Begin the course at the times specified in the outline."
"R_1msyCSfBLeWneyc","AmGov","I work on this at home on my computer. "
"R_1MTfWcsZ3EschPd","BioChem","i will spend this course every night and afternoon every day at home || firstly, i will survey to all material name and download all books related of it, then i will determine the better for me. || i will contribute my classmate in course and material. || i will go to my professor if i have any challenging and communicate with internet "
"R_1mVq00lVrxfuv8m","AmGov","this course will be part of my evening routine || I am fairly regimented when I set goals and schedule time for success Adjustments will be made to my time to accomplish my goal "
"R_1mWyZlY4tOBJ95G","JustS"," Two hours a day after my morning chores are done. More reading in the evening. At home. || The days I am not able to do it, I have planned buffer time on other days so am not stressed that I won't be able to do it. || Have a couple of holidays planned and have also planned the make-up time for these two weeks. || Obstacles - like illnesses - short-term - can manage. Can read when I am lying down!"
"R_1MYQ19Il53m6Rhf","BioChem","I will study at home in the mornings, as I have summer holidays right now. I will set targets and reminders to make sure that I complete all assignments. I will do the necessary research online and in the recommended textbook. "
"R_1mz8r6p5sBArL05","JustS"," I have asked a couple of friends to join me, so we can have our own study group to discuss how the subject applies to our reality as Brazilians || I intend on reading the material at least twice: once before watching the lecture, and then once again, after watching it. "
"R_1MZoCcgjOnD3i8f","JustS",""
"R_1N2mh9N6uapvtan","JustS"," In my study at home || Make time || Have done a course before and enjoy the discipline || I enjoy problem solving"
"R_1n2tM2WYuY449mH","AmGov"," I plan on working on the course at home, where I can be as comfortable as I can as I participate in the class. || I will put aside at least an hour every day to reviewing the course materials so that I am prepared for the discussions or the quizzes or the writing assignments. || If I come across any sort of obstacle during the course, I will not hesitate to reach out to the professor for help. || If the obstacle is lack of time, I will plan ahead during the week to make sure that although I don't finish the work during the time that I expected, that I will finish it by the time the next class starts. "
"R_1N36wt6we7Ah0mU","AmGov"," I will work on the course content every morning around eight o'clock at home. || I will make sure that I allocate my time appropriately, clear my surroundings of distractions, and put in the proper amount of research necessary to finish. I plan on responding to obstacles by being proactive insofar as scheduling and distractions are concerned."
"R_1N3JURlfHPSz1XD","BioChem"," home office || set time aside for study time. set time aside to deal with obstacles"
"R_1N3VUxHK3qgRx3k","BioChem",""
"R_1N5fMX5GoxMkM7l","JustS","Watch the lectures and do the readings at home, on evenings and weekends || I'm not too worried about obstacles -- this is an undergraduate-level course, and I already hold both a B.A. and J.D. "
"R_1n8FfCxxJxIf36B","JustS"," I study in my nome library || I set weekly goals and if I don't / can't meet them I re-plan "
"R_1n8YgGJ3I8TCDgn","BioChem","i plan to read the material during my commute to and from work || i will check in daily to go over material and check for new material posted || if there might be something that i am stuck on, i will research as much as i can and then reach out to whomever is listed as a contact for this course || will set goal to finish this course on a normal class time schedule to push myself and not get too comfortable with the lax in time "
"R_1n9F577TBz0UkZB","AmGov"," 4 hours per week || Take all the courses I am going to ask questions"
"R_1NakkfuG6dB9vkb","BioChem","not really interested in direct application "
"R_1NE4S0v8hHudZ4j","AmGov"," Early morning study at home || Take the same time each morning || Do not get behind || Ask questions and research "
"R_1NE8hkTnYFK14tC","JustS"," I have set aside specific time slots for completing online courses. This one is only part of what I'm doing, so... it depends in part on my ability to complete one other edX course and 3 Coursera courses. || Setting up automatic reminders of deadlines on my calendars to assure that I don't miss deadlines. "
"R_1NeLziFVUYyXXem","JustS","Spare time in the daytime and evening, mostly at home. || Make time every day || Don't get hung up about it. || Think about the goal and outcomes. "
"R_1NePTTREVzQL0ql","BioChem","I plan on spending a few hours during the weekend completing this course, at my house. || I will have reminders on my desk to make sure I remember to spend time on the course. I will also keep a track record of my progress, to help motivate me to complete the course. If I encounter obstacles, such as other time commitments, I will simply reschedule the time I take part in the course material. "
"R_1NFhpVdz4ZMKC3d","JustS","Weekends, at home "
"R_1Nh3pgny08myHal","JustS","I plan to do the majority of my coursework when I am at home after work || I plan to set aside a few hours each day to study "
"R_1Nt3LBF2QVG3fCR","AmGov"," School (during study hall) is when I will study "
"R_1NzAFZjRY2J4v7R","BioChem","Commit "
"R_1oAaMLSJgBNtc9Y","AmGov"," I live with in the university I am studying at,so the days on which the lectures,quizzes or videos will be posted I will try to be in the library reviewing them or on the next day || See the videos twice, read thourough the readings and stick to the timetable and not delay the written assignments by being prepared most of the time, reviewing notes."
"R_1OB3Ez2tgTLTrWR","JustS","At work when I have downtime, I will take lessons from Edx. || At home when I have downtime, I will take lessons from Edx. || If I can only convince my girl to do this with me, then we'll tune in together. || One obstacle I can think of is motivation, so I'll have to carve out some time each day. "
"R_1obrTuGdn6E3rS4","BioChem","Take notes || Review videos || Google appropriate context || Review discussion boards"
"R_1OCdkDwIXuC53W7","AmGov","I will be engaging the course content both in my office and in my bedroom, where I am now || I will need to make very good use of my internet services, already at home to work towards the completion of the course || Whenever I have issues, I hope to discuss it with the Professor and I will also be willing to take his good advice || I will also hope that my time difference (+6 GMT) with the Professor will not affect me intensely"
"R_1OHcaYDlk48v9Uj","AmGov"," Plan to study and take notes as I go thourough the material. || Discuss material with others in the course as I go. Supplement coursework with extra outside sources."
"R_1OHLenBmiueIqIV","AmGov",""
"R_1ohuZFhtQ8rIr7L","AmGov",""
"R_1OJLPGAEnpJLhjP","JustS","I want to engage the course content in my bedroom || I will listen to every word carefully and take notes || If I have any problem I will address them to my professors || I am planning on succeeding "
"R_1OJQ9fLhVr1lnPU","BioChem"," I will spend time engaging in the course content over my summer break from university. || I will set regular deadlines for small tasks to complete in order to finish the course successfully. I will set aside specific times each week to complete the coursework."
"R_1ojtEy6ii85fJe8","BioChem"," After work, at home in peace and quiet || Self-discipline || Applying my commitment qualities || Being responsible in all areas in life "
"R_1OlCfH7UDZNzGke","BioChem","in my office, when i have free time || in the car, on my way to home at home, whenever i have some free time "
"R_1ON8ro1h4yz1bM7","JustS"," To finish as much as possible in the weekends "
"R_1opqUyIU3h82Kma","AmGov"," At my dorm room after classes. || Writing down a set schedule in order for me to remember to complete the coursework. I will most likely refer to my history readings from class or to the internet. "
"R_1oq1uFI1IgPgrDf","AmGov","At home in the evenings after work is when I will be working || I will keep up to date with posted material I will set reminders to ensure that my work is done on time "
"R_1OqKNgoJMpCUBLr","JustS","once a week after school || think more than usual during the lectures || memorize and analyze the examples given || reading given articles "
"R_1oqluisfCgPDgTf","BioChem","Finish a lesson right after school (when school starts in August) || Try to finish as much course material as possible over the summer and on the weekends "
"R_1Os4NvQpob3UoLP","JustS"," I plan to spend time engaging course content in my home office space and the public library on Thursdays-Sundays. If I have unexpected available time on Mondays-Wednesdays, I will take advantage of those opportunities to work thourough the course content as well. || I have a schedule in my planner with deadlines to complete the course content. || I have friends and family who know about my goal to complete the content of this course. If I encounter obstacles during the course, I will contact them so they can remind me to persevere in pursuit of my goal. "
"R_1OT9XfA9ZujDg6a","BioChem",""
"R_1OUDSLGZWUji3Zb","JustS"," I will engage in the course content from my room or university library || I will try to work daily on the course even if it is just 5 minutes to make a habit of it. "
"R_1oupgTGBSSFtNfm","JustS","As soon as I have time, during evenings or in the weekend at home. || Following the lectures in divided groups and reading all documents || Searching for more documentation and studying more hours "
"R_1OUZPCZS3vPqJXC","BioChem"," I have bought every available textbook I may need. || My partner is studying a biological science at the Doctoral level - she's who I will turn to if I am stuck on a question or concept. . || 2 hours a day revision, on top of designated course study time || I will study at least an hour a day"
"R_1ovWld1BZorj1mI","JustS"," House, at night time or during some spare minutes at work || dedicate time to it || engage and commit "
"R_1owlK6pja9Hsd1N","JustS","Will study at home or at library || Will work at least 3 to 4 hours everyday. || Will solve the obstacles or work around it "
"R_1P14n14A7Zmr7vu","JustS"," in my home || regular study || planning and managing time || give focus and time"
"R_1P7ZvGtK4ikrx7v","AmGov",""
"R_1pne8lA23deDUhG","JustS"," I will study on my lunch break and on the weekends. || I like to study in coffee shops, as it allows me to focus while there is action and noise in the background. "
"R_1pPBsiqgoHWe34s","JustS","I plan to study during the day while my kids are at school. so i have minimal interruptions || if for some reason my internet is down i have made plans to study at another location or internet cafe. || if something comes up and I can study at the planned time i am willing to re-shuffle my schedule so that I can meet my obligations. "
"R_1pR5Jr2VNklRmvK","JustS","I'm retired and can do this course during the day || I plan to work on it every morning || I can put off reading the news until later "
"R_1pRIeWANlMVidIa","BioChem"," Program timing properly || Get proper materials || Allow extra time for difficult subjects || Not rush"
"R_1pSFEi2l0GyBpNj","JustS"," Dedication || Address them and move on "
"R_1ptTZ5foX3bFfxo","JustS"," As I'm not working at the moment so I will try to complete the course during any spare time I have. "
"R_1PTXTfo72cVuH7M","JustS","Evenings at home || Broader book learning "
"R_1pxMOqvsEr2ewka","AmGov","I plan to complete the course from the time that i spend in my home || I have made a strict schedule to ensure the completion of coursework if I encounter any obstacle, i'll try to think of a solution for it and work accordingly "
"R_1pXroBtMI7c2uOc","AmGov"," I'll download course content when have access to WiFi, and complete coursework at home. || Spending at least 1.5 hours a night In response to obstacles...I'll do the best I can"
"R_1PXV64k3hdMArao","BioChem"," Home at night || At least once a week seat and do the coursework Internet resources, undergraduate books"
"R_1py53yzqHDLikgc","BioChem","Plan to study in the early morning hours before kids are awake, or after bedtime if needed. || Will do the best that I can to complete coursework. "
"R_1pYwOmB3PsD78Wa","AmGov","no specific plan other than doing the work || whether i finish will depend on whether the course is interesting and the tone of the course / "
"R_1pYWYcsG6oTjBxP","BioChem",""
"R_1Q3fY16eCLP2FbR","JustS","Since I work from home, I will be able to devote enough time to complete the course "
"R_1q7WJi3wKmvDar0","BioChem"," Home and Library || Use an agenda || Get help online from Khan academy || Ask questions on forum"
"R_1q85njeJhtmqJhY","BioChem"," Being engaged in more courses, with a firm plan, this will be third tier in some weeks. But with intent to follow thourough. "
"R_1q9G3sEhlv2UKUG","BioChem",""
"R_1q9YHuZtfDFeZHX","BioChem"," Afterwork || Watch videos and do quizzes Self learn hard to grasp concepts"
"R_1QASWm0n6ng8ZT4","JustS",""
"R_1QB0ZCF5B5ZxhZ7","JustS","At home, after school and after regular homework and online classes. || I will budget my time carefully. || I will work when I can, and get caught up during breaks from school. "
"R_1qeyjBmdisUS7K5","JustS"," At home of weekends. || During my commute. || Lunch breaks. "
"R_1QFmxCUt6a3Ktlg","JustS","I will be studying in the daytime during working hours (I am a student and can readily find the time). || I have constructed a schedule. || I will try to use the discussion forums if I reach am obstacle. I am generally not very good at asking for help, and I hope to overcome this. || I will generally try to use the discussion forums, so as to attempt to prevent any large obstacles in my understanding of the material. "
"R_1QLA2sBDWOki6Pn","JustS"," At home after work on Fridays and Sundays || I will do one module per week without fail || I will reteach or discuss the module with someone during the week || I will evaluate and devise a workable plan to overcome any obstacles "
"R_1QMnHzw5gSshn2A","AmGov"," I plan to spend approximately 2 hours a day for completing tasks for this course 5 days a week. || I have devoted this study time to take place during the time my family is asleep. || I have a back up plan in place to make up time on the 2 days I have allotted for free time or other activities. || I will also purchase the 11th edition of WE Are the People for supplemental reading for this course. "
"R_1QnnuLFJgdtBAoW","BioChem","When and where: afternoons at home. || I have already allocated time to complete the activities of the course. I consider this course as an important educational tool (not only knowledge but course structure and logical thinking of the teachers) to improve my educational skills. "
"R_1qUvrKMrH24LnVf","JustS","In the evenings, at home. || Spend about an hour a day. || I will need to take time off for family obligations, especially during the holidays. "
"R_1QxEkixhtZaGJiC","BioChem"," I recently just discovered this course and it started 3 days ago but I am currently faced with time on my hands. || Devote as much time as needed to be successful and to catch up the four days I missed Ask for assistance when needed collaborate as much as possible"
"R_1qXrCDfBSTfaIzY","AmGov","I am currently teaching an online class, and spend a significant amount of time online already. || I have completed an EdX class in the past, and have an ideal of the time commitment. My schedule is quite open and flexible at the moment. "
"R_1r248u10GPLxgsX","JustS"," I plan on spending 3-5 days per week. My study/assignment goal is to put a minimum 1-2 hours per day || I will not stay on computer studying/assignment to the point I get burnout. || I will take breaks for pleasure, work, and leisure. || I will try to ask for help, either from another student or I hope my instructor if available."
"R_1r7As3O44TVEeIJ","JustS","Reading of prominent moral thinkers. "
"R_1r81021DaSNwEYW","AmGov"," I wish(and plan) to spend the time that I dedicate to this course somewhere where I can focus(which would be my room,although I tend to be able to focus anywhere).When?Well,whenever my appetite for learning asks for it,which is always. || The first step I'd take to make sure I follow thourough on this course would be to eliminate any possible source of distraction.A second step would be to make a schedule,so I'll never forgetabout the course.I'm usually a pretty organized person,so sticking to a certain schedule won't be very hard for me.Also,I'd have to take some more time to fully comprehend the given information. || Moreover,in order to never lose the motivation I need to complete this course,I'll make sure to remember why I started it in the first place. || As I have already said,I'd try to remember what made me to this in the beginning,and this will most certainly be enough to make me forget that I'm facing an obstacle,so I'll instead regard it as a challenge.And if there is something I love in this world more then learning,that is a good challenge ."
"R_1r8Hf0ZxILAK3rU","AmGov","I plan to primarily spend time engaging with course materials on weeknights after work, and probably on weekends as well, as needed. I have a busy schedule so I need to use my time wisely, but I think I can handle the load of one online course. || I will try hard to keep up with assignments and not fall behind - this will involve making use of my Google calendar to keep track of deadlines and assignments. || I am also planning to keep my family updated with what I am learning, as a way to share and review what I am learning, and hopefully keep myself more accountable, too. || If I begin having trouble managing time, I will create a more structured schedule for myself, and possibly relocate myself to specific locations where I can focus exclusively on work. "
"R_1rdnenu7I0r96iR","AmGov"," At home in the evenings "
"R_1riQKmCDCZ2Ia3E","BioChem","night time at home || take notes to prepare mcat || use discussion forum || and FAQ"
"R_1riUecXhTDRkxgl","AmGov","I will try to cover up for lost classes, by taking extra time out of daily chores || dedicate 2-3 hours thourice weekly to ensure completion "
"R_1rl8wl0Kg9juTs3","JustS","I will complete the work in my home office || I will make very sure that I pick a time in the week to complete what needs to be done for the course "
"R_1rlzggNJa1X0lG1","JustS"," Set aside 30 minutes each day || Utilize lunch breaks "
"R_1rMRFnmiLJYbE3U","JustS"," On weekends at home. Will ensure I finish the lectures within the prescribed timelines. "
"R_1rMT4RPTpdoJlps","JustS"," I spent time engaging in course content before going to bed. || I completed the tasks associated with each lecture in order, including the readings, polls, and discussions. I did not skip ahead. || I worked ahead so that I would still be able to complete the course on time even if I encountered obstacles. || I signed up for the certificate as an additional incentive to complete the course."
"R_1rN5NjoR2FRyfRp","JustS","No specific plans at at the moment but will allocate a time slot during the week. Will probably study at home. || It is more a question of just doing it rather than planning once I have established a schedule. || If there are any obstacles I will judge their significance and act accordingly. Some, for example a meteor striking the earth, will probably stop my progress others like my car breaking down can be worked around. I see no advantage in pedicuring how I might respond to as yet unrealized issues. || I have no risk mitigation strategy at the moment. "
"R_1rOXVomhzzYqLyw","JustS","The hotel I am working from in Yemen or Djibouti || Plan in time to watch lectures and complete exercises weekly || Factor in time || Prioritize the course "
"R_1rpn6YRTUgVojqW","JustS"," Check in daily || Read/submit material at least every other day to stay current || Participate in forums to discuss obstacles || Communicate with instructors if obstacles occur"
"R_1rv7RpB7EPCYQKy","BioChem","Weeknight evenings || Regular work Unsure "
"R_1SQK2jev4IIcUgx","AmGov","Do the assignments every Thursday || Take time to read || Be perseverant || Make a study schedule "
"R_1SvBJnsn9ZiOca9","BioChem"," After my working hours at home || I will be dedicated to the course I will make it one of my topmost priorities"
"R_1X4j7kV6dglx2fv","JustS",""
"R_1XGjS2rLg1CdKpT","BioChem","Enzymes || Use online discussion "
"R_1yHYfXXG8xDkXjb","BioChem"," I'm going to spend time at home || In my room, without any noise || I'll spend 60 minutes a day || I'll try to participate in forums "
"R_1ZCz6YSD68cPH25","BioChem","Home and class room || read lehningers principles of biochemistry, Stryer biochemistry, watch youtube videos and kevin aherns video on biochemistry, discuss with friends || keep self motivated, read and study regularly for thouree hours each day for this course || analyze course lectures and make notes "
"R_1zDb3GBLwJLv1qF","JustS","I love to learn and I have earned several certificates already, so I am aware of the time commitment that is required to succeed. When I watched the preview video for this course, I immediately felt I wanted to participate. If it is at all what I expect it to be, I will complete the course. "
"R_20Pd7Y87Q6KSxlo","AmGov"," At home, most evenings || Setting aside extra time for the course Asking advice from tutor and other course participants"
